Year,Season, State, Total Annual Loss, Beekeepers, Beekeepers Exclusive to State, Colonies, Colonies Exclusive to State,,,,,,,
2010/11,Annual,Colorado,38.70%,65,98.50%,741,79.80%,,,,,,,
2010/11,Annual,Kansas,38.90%,11,81.80%,175,51.90%,,,,,,,
2010/11,Annual,Delaware,39.00%,8,87.50%,41,79.20%,,,,,,,
2010/11,Annual,Ohio,39.90%,116,100.00%,948,100.00%,,,,,,,
2010/11,Annual,Virginia,40.80%,176,97.70%,1491,94.50%,,,,,,,
2010/11,Annual,North Carolina,42.10%,303,95.70%,3451,91.90%,,,,,,,
2010/11,Annual,Minnesota,42.50%,27,77.80%,38378,1.30%,,,,,,,
2010/11,Annual,Mississippi,43.50%,7,57.10%,30618,0.10%,,,,,,,
2010/11,Annual,Connecticut,43.70%,43,86.00%,666,38.00%,,,,,,,
2010/11,Annual,South Dakota,44.80%,7,85.70%,2802,3.50%,,,,,,,
2010/11,Annual,Maryland,47.50%,85,98.80%,765,97.60%,,,,,,,
2010/11,Annual,Rhode Island,48.70%,25,96.00%,113,96.40%,,,,,,,
2010/11,Annual,Florida,57.70%,57,91.20%,13624,7.00%,,,,,,,
2010/11,Annual,Illinois,58.30%,57,94.70%,1019,79.70%,,,,,,,
2010/11,Annual,Massachusetts,60.70%,81,93.80%,539,83.70%,,,,,,,
2010/11,Annual,Louisiana,63.60%,13,84.60%,6153,2.60%,,,,,,,
2010/11,Annual,New York,68.10%,79,84.80%,8197,14.50%,,,,,,,
2010/11,Annual,Pennsylvania,72.80%,218,97.30%,8640,54.30%,,,,,,,
2010/11,Annual,West Virginia,78.60%,25,92.00%,509,48.70%,,,,,,,
2010/11,Annual,Iowa,80.70%,14,85.70%,1037,68.80%,,,,,,,
2010/11,Annual,Michigan,83.50%,99,97.00%,10320,21.90%,,,,,,,
2010/11,Annual,Georgia,84.70%,61,96.70%,5923,20.80%,,,,,,,
2010/11,Annual,Maine,86.90%,43,93.00%,5668,13.80%,,,,,,,
2010/11,Annual,Puerto Rico,,1,100.00%,12,100.00%,,,,,,,
2010/11,Annual,Alaska,,2,50.00%,6,100.00%,,,,,,,
2010/11,Annual,District of Columbia,,1,100.00%,4,100.00%,,,,,,,
2010/11,Annual,Wyoming,,2,100.00%,3883,100.00%,,,,,,,
2010/11,Annual,Nevada,,3,33.30%,3581,0.30%,,,,,,,
